Posted Date,Reference Number,Payee,Address,Amount
05/20/2026,24036386139071287008276,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-57.93
05/20/2026,24036386139071286875790,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-15.17
05/20/2026,24027626139067286655984,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-47.32
05/19/2026,13820401050047151004091,"PAYMENT FROM CHK 0972 CONF#5637227eh","",807.58
05/07/2026,24036386126071569416853,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-58.31
05/06/2026,24036386125071517051589,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-13.77
05/05/2026,24027626124067488647687,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-6.57
05/01/2026,24036386120071208345394,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-49.83
04/30/2026,24027626119067152098933,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-28.63
04/25/2026,24036386114071876360780,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-45.50
04/24/2026,24036386113071822779126,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-126.64
04/22/2026,24036386111071720036548,"PAYPAL *PIRATE SHIP POST 402-935-7733 WY","402-935-7733  WY ",-106.48
