Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/01/2026,"Zelle payment to PHUONG 29435198560",-3000.00,QUICKPAY_DEBIT,40066.63,,
DEBIT,06/01/2026,"Payment to Chase card ending in 0687 06/01",-347.36,LOAN_PMT,43066.63,,
DEBIT,06/01/2026,"CITI AUTOPAY     PAYMENT    292026018340273 WEB ID: CITICARDAP",-477.15,ACH_DEBIT,43413.99,,
CREDIT,05/29/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.35,ACH_CREDIT,43891.14,,
DEBIT,05/26/2026,"Zelle payment to CRISTIAN 29337655915",-1350.00,QUICKPAY_DEBIT,41812.79,,
CREDIT,05/21/2026,"Zelle payment from PHONG NGUYEN BACfz8841cfk",1500.00,PARTNERFI_TO_CHASE,43162.79,,
DEBIT,05/20/2026,"TARGET DEBIT CRD ACH TRAN   000002290773484 POS ID: 6510215171",-40.53,ACH_DEBIT,41662.79,,
DEBIT,05/18/2026,"TARGET DEBIT CRD ACH TRAN   000012311631424 POS ID: 6510215171",-11.18,ACH_DEBIT,41703.32,,
CREDIT,05/15/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.36,ACH_CREDIT,41714.50,,
DEBIT,05/13/2026,"Zelle payment to Bao Xe JPM99cgvk0vo",-70.00,CHASE_TO_PARTNERFI,39636.14,,
DEBIT,05/12/2026,"Payment to Chase card ending in 2287 05/12",-7920.92,LOAN_PMT,39706.14,,
DEBIT,05/11/2026,"Zelle payment to PHUONG 29166887377",-145.00,QUICKPAY_DEBIT,47627.06,,
DEBIT,05/06/2026,"Payment to Chase card ending in 0687 05/06",-346.15,LOAN_PMT,47772.06,,
CREDIT,04/30/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.35,ACH_CREDIT,48118.21,,
DEBIT,04/27/2026,"TARGET DEBIT CRD ACH TRAN   000001921634292 POS ID: 6510215171",-30.98,ACH_DEBIT,46039.86,,
CREDIT,04/27/2026,"Zelle payment from WOW SHINY CARDBOARD BACilk7d6b2p",2000.00,PARTNERFI_TO_CHASE,46070.84,,
DEBIT,04/24/2026,"Zelle payment to ADAM CISNEROS 28958523659",-1000.00,QUICKPAY_DEBIT,44070.84,,
DEBIT,04/21/2026,"Payment to Chase card ending in 8045 04/21",-2187.71,LOAN_PMT,45070.84,,
CREDIT,04/15/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.37,ACH_CREDIT,47258.55,,
DEBIT,04/13/2026,"TARGET DEBIT CRD ACH TRAN   000002291625915 POS ID: 6510215171",-50.64,ACH_DEBIT,45180.18,,
DEBIT,04/13/2026,"Zelle payment to LAVENDER SPORTS CLUB LLC JPM99ccuga4r",-60.00,CHASE_TO_PARTNERFI,45230.82,,
DEBIT,04/13/2026,"Zelle payment to LAVENDER SPORTS CLUB LLC JPM99cctwh01",-4.00,CHASE_TO_PARTNERFI,45290.82,,
DEBIT,04/13/2026,"Zelle payment to LAVENDER SPORTS CLUB LLC JPM99ccthkhj",-5.00,CHASE_TO_PARTNERFI,45294.82,,
DEBIT,04/10/2026,"Zelle payment to A Sn. Zippost JPM99ccoc15k",-25.00,CHASE_TO_PARTNERFI,45299.82,,
DEBIT,04/09/2026,"Payment to Chase card ending in 0687 04/09",-50.14,LOAN_PMT,45324.82,,
DEBIT,04/09/2026,"Payment to Chase card ending in 8045 04/09",-1583.11,LOAN_PMT,45374.96,,
DEBIT,04/01/2026,"CITI AUTOPAY     PAYMENT    291975045260226 WEB ID: CITICARDAP",-746.47,ACH_DEBIT,46958.07,,
CREDIT,03/30/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.36,ACH_CREDIT,47704.54,,
DEBIT,03/13/2026,"Payment to Chase card ending in 8045 03/13",-2285.45,LOAN_PMT,45626.18,,
CREDIT,03/13/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.36,ACH_CREDIT,47911.63,,
CREDIT,03/06/2026,"Zelle payment from PHONG NGUYEN BACg04wfm277",1500.00,PARTNERFI_TO_CHASE,45833.27,,
DEBIT,03/03/2026,"Payment to Chase card ending in 8045 03/03",-6003.02,LOAN_PMT,44333.27,,
DEBIT,03/02/2026,"CITI AUTOPAY     PAYMENT    291947432240573 WEB ID: CITICARDAP",-286.34,ACH_DEBIT,50336.29,,
CREDIT,03/02/2026,"Zelle payment from PHONG NGUYEN BACh32ux1u75",2500.00,PARTNERFI_TO_CHASE,50622.63,,
CREDIT,02/27/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.35,ACH_CREDIT,48122.63,,
DEBIT,02/24/2026,"OFFICIAL CHECKS CHARGE",-10.00,FEE_TRANSACTION,46044.28,,
DEBIT,02/24/2026,"WITHDRAWAL 02/24",-7354.31,MISC_DEBIT,46054.28,,
DSLIP,02/24/2026,"DEPOSIT  ID NUMBER  60533",4500.00,DEPOSIT,53408.59,,
DEBIT,02/20/2026,"Payment to Chase card ending in 2174 02/20",-55.26,LOAN_PMT,48908.59,,
DEBIT,02/20/2026,"Payment to Chase card ending in 0687 02/20",-41.44,LOAN_PMT,48963.85,,
DEBIT,02/19/2026,"PAYPAL *Nguyen Tin San Jose CA               02/19",-510.00,DEBIT_CARD,49005.29,,
CREDIT,02/19/2026,"Zelle payment from PHONG NGUYEN BACiypxznrwj",2000.00,PARTNERFI_TO_CHASE,49515.29,,
