Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/05/2026,06/05/2026,Payment Thank You-Mobile,,Payment,4051.74,
06/03/2026,06/04/2026,EBAY O*27-14697-74864,Shopping,Sale,-4354.99,
06/02/2026,06/02/2026,Payment Thank You-Mobile,,Payment,5000.00,
05/31/2026,06/01/2026,Payment Thank You-Mobile,,Payment,4500.00,
05/28/2026,05/29/2026,WWW.PSACARD.COM,Shopping,Sale,-1964.64,
05/28/2026,05/29/2026,PAYPAL *BUYEE,Shopping,Return,607.88,
05/27/2026,05/29/2026,TST*DA VIEN - STANTON,Food & Drink,Sale,-6.50,
05/26/2026,05/27/2026,PAYPAL *LU.RATTHEE,Professional Services,Sale,-4250.00,
05/25/2026,05/26/2026,MIRAKURU TEA AND COFFEE,Groceries,Sale,-7.50,
05/24/2026,05/25/2026,MIRAKURU TEA AND COFFEE,Groceries,Sale,-6.00,
05/24/2026,05/25/2026,SQ *PHO THIN 13 LO DUC,Food & Drink,Sale,-27.32,
05/21/2026,05/22/2026,WWW.PSACARD.COM,Shopping,Sale,-87.48,
05/20/2026,05/21/2026,WAL-MART #3101,Groceries,Sale,-20.32,
05/20/2026,05/21/2026,WWW.PSACARD.COM,Shopping,Sale,-1033.99,
05/20/2026,05/20/2026,Payment Thank You-Mobile,,Payment,4300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-1365.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-250.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-360.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-300.00,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-480.00,
05/15/2026,05/17/2026,DD *DOORDASH HASHIJAPA,Food & Drink,Sale,-23.64,
05/16/2026,05/17/2026,BECKETT,Shopping,Sale,-420.00,
05/14/2026,05/15/2026,DD *DOORDASH BAOSHOG,Food & Drink,Sale,-26.72,
05/15/2026,05/15/2026,LYFT   *1 RIDE 05-13,Travel,Sale,-39.83,
05/13/2026,05/14/2026,FUSION CORNER,Food & Drink,Sale,-22.52,
05/12/2026,05/13/2026,EBAY O*13-14623-97175,Shopping,Sale,-2400.00,
05/07/2026,05/08/2026,DD *DOORDASH BAOSHOG,Food & Drink,Sale,-26.72,
