Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2287,06/05/2026,06/05/2026,Payment Thank You-Mobile,,Payment,3000.00,
2287,06/04/2026,06/04/2026,Payment Thank You-Mobile,,Payment,3500.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-420.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-420.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-540.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-300.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-360.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-900.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-960.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-180.00,
2287,05/15/2026,05/17/2026,BECKETT,Merchandise & Inventory,Sale,-960.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-500.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-900.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-1140.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-720.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-400.00,
2287,05/14/2026,05/15/2026,BECKETT,Merchandise & Inventory,Sale,-780.00,
2287,05/12/2026,05/12/2026,Payment Thank You-Mobile,,Payment,7920.92,
2287,05/02/2026,05/03/2026,GHIEN BUN BO,Food & Drink,Sale,-45.97,
2287,04/18/2026,04/19/2026,eBay O*13-14516-07590,Merchandise & Inventory,Sale,-2353.75,
2287,04/15/2026,04/16/2026,eBay O*25-14485-52909,Merchandise & Inventory,Sale,-2828.28,
2287,04/15/2026,04/15/2026,eBay O*23-14486-09879,Merchandise & Inventory,Sale,-2738.89,
2287,04/14/2026,04/14/2026,Payment Thank You - Web,,Payment,195.00,
2287,03/01/2026,03/01/2026,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-195.00,
